,Player,Year Drafted,Pick,Height,Wingspan,Vertical,Weight,Body Fat,Bench,Agility,Sprint
0,Blake Griffin,2009,1,82.0,83.25,35.5,248.0,8.2,22.0,10.95,3.28
1,Terrence Williams,2009,11,78.25,81.0,37.0,213.0,5.1,9.0,11.15,3.18
2,Gerald Henderson,2009,12,77.0,82.25,35.0,215.0,4.4,8.0,11.17,3.14
3,Tyler Hansbrough,2009,13,81.5,83.5,34.0,234.0,8.5,18.0,11.12,3.27
4,Earl Clark,2009,14,82.25,86.5,33.0,228.0,5.2,5.0,11.17,3.35
5,Austin Daye,2009,15,82.75,86.75,28.0,192.0,5.5,,12.11,3.55
6,James Johnson,2009,16,79.75,84.75,35.0,257.0,12.0,18.0,11.21,3.23
7,Jrue Holiday,2009,17,76.25,79.0,34.0,199.0,6.3,6.0,10.64,3.21
8,Ty Lawson,2009,18,72.5,72.75,36.5,197.0,6.6,14.0,10.98,3.12
9,Jeff Teague,2009,19,73.5,79.5,36.5,175.0,4.5,13.0,11.05,3.18
10,Hasheem Thabeet,2009,2,86.5,90.25,,267.0,6.7,,,
11,Eric Maynor,2009,20,75.25,74.5,31.5,164.0,5.4,8.0,10.78,3.19
12,Darren Collison,2009,21,73.5,75.0,33.5,166.0,5.7,9.0,10.45,3.1
13,Omri Casspi,2009,23,81.25,81.25,32.5,211.0,8.6,2.0,11.15,3.28
14,Byron Mullens,2009,24,85.25,85.5,32.5,258.0,8.5,10.0,11.1,3.45
15,Damion James,2009,24,79.5,84.75,37.0,224.0,8.2,14.0,11.23,3.09
16,Rodrigue Beaubois,2009,25,74.25,81.75,39.0,182.0,7.9,3.0,10.49,3.15
17,Taj Gibson,2009,26,81.75,88.0,30.0,214.0,6.6,12.0,11.56,3.41
18,DeMarre Carroll,2009,27,79.75,82.0,,207.0,6.3,,,
19,Greivis Vasquez,2009,28,78.0,79.25,28.0,197.0,6.9,1.0,11.13,3.48
20,Wayne Ellington,2009,28,77.25,78.5,38.0,202.0,5.5,13.0,11.14,3.2
21,Toney Douglas,2009,29,74.0,78.0,32.5,183.0,5.2,15.0,10.63,3.03
22,James Harden,2009,3,77.25,82.75,37.0,222.0,10.1,17.0,11.1,3.13
23,Jeff Pendergraph,2009,31,82.0,85.0,35.0,240.0,5.5,15.0,11.98,3.14
24,Jermaine Taylor,2009,32,76.75,80.75,37.5,207.0,5.8,16.0,11.54,3.32
25,Dante Cunningham,2009,33,80.25,83.0,35.0,227.0,4.8,18.0,11.18,3.26
26,DaJuan Summers,2009,35,80.5,84.75,34.5,243.0,6.6,15.0,10.94,3.17
27,Sam Young,2009,36,78.75,82.75,33.0,223.0,4.9,,11.47,3.45
28,DeJuan Blair,2009,37,78.5,86.0,33.0,277.0,12.0,18.0,11.5,3.45
29,Tyreke Evans,2009,4,77.25,83.25,34.0,221.0,7.1,7.0,11.81,3.17
30,Derrick Brown,2009,40,80.5,86.5,35.5,225.0,8.6,20.0,11.26,3.13
31,Jodie Meeks,2009,41,76.0,76.5,37.0,211.0,8.0,14.0,10.96,3.1
32,Marcus Thornton,2009,43,75.75,77.0,33.0,194.0,4.8,14.0,10.73,3.28
33,Chase Budinger,2009,44,79.0,79.0,38.5,206.0,10.0,10.0,11.08,3.24
34,Danny Green,2009,46,78.5,82.0,33.0,208.0,5.6,15.0,11.3,3.3
35,Gani Lawal,2009,46,81.0,84.0,34.5,229.0,7.2,17.0,11.93,3.34
36,Jack McClinton,2009,51,72.75,74.5,36.5,185.0,6.2,13.0,10.44,3.21
37,A.J. Price,2009,52,74.0,75.75,31.0,193.0,12.4,11.0,10.99,3.22
38,Luke Harangody,2009,52,80.0,81.75,31.0,240.0,11.2,23.0,11.15,3.33
39,Patrick Mills,2009,55,72.5,74.0,33.0,175.0,6.9,8.0,10.87,3.1
40,Jonny Flynn,2009,6,72.75,76.0,40.0,196.0,6.3,10.0,10.86,3.23
41,Stephen Curry,2009,7,75.25,75.5,35.5,181.0,5.7,10.0,11.07,3.28
42,Jordan Hill,2009,8,82.25,85.5,35.0,232.0,6.0,11.0,12.23,3.3
43,Demar DeRozan,2009,9,78.5,81.0,38.5,211.0,4.9,5.0,11.88,3.31
44,Dionte Christmas,2009,,77.5,81.0,33.5,211.0,7.1,3.0,10.83,3.21
45,Jeff Adrien,2009,,78.5,86.0,31.5,236.0,7.9,16.0,11.34,3.32
46,Jerel McNeal,2009,,75.0,79.25,36.5,190.0,5.4,10.0,10.61,3.25
47,Joe Ingles,2009,,80.25,82.25,31.0,209.0,10.1,3.0,10.66,3.3
